seed,strategy,client,client_name,acc,f1,mcc,auc,ece,brier,precision,recall
1,centralized,1,Hospital_B (Breast Ultrasound),0.9230769230769231,0.9146671826625387,0.8710097359955312,0.9785499594518464,0.09136510526463679,0.11385963735557407,0.9193121693121693,0.9139423076923077
1,centralized,2,Hospital_C (COVID-19 X-Ray),0.9584251968503937,0.9628150860344702,0.9364094777101704,0.9945638329548783,0.07823420707651638,0.07295820653551188,0.9682189723702055,0.957840765474203
1,centralized,pooled,Pooled (11 cls),0.9574816026165167,0.9476759467630121,0.9487300519126599,0.9854099399628741,0.07356080705161291,0.07465249367575225,0.9519993401907212,0.9459718168157941
2,fedua,0,Hospital_A (Brain-Tumor MRI),0.966875,0.966511760103477,0.9564417640411589,0.9873588541666667,0.06103674707178658,0.06276327859298295,0.9680639259458299,0.966875
2,fedua,1,Hospital_B (Breast Ultrasound),0.8547008547008547,0.8412499999999999,0.7635320757847581,0.9631841652243432,0.09149706513636228,0.21334830956939038,0.8234617360041089,0.8681003584229391
2,fedua,2,Hospital_C (COVID-19 X-Ray),0.9546456692913385,0.9605385684030218,0.930722525709269,0.9895140638067119,0.04797784295650358,0.07870195968865193,0.9699057334078629,0.9521392741108187
2,ditto,0,Hospital_A (Brain-Tumor MRI),0.965,0.9646067966180571,0.954089948392661,0.986325,0.05694707481376608,0.06392785380547608,0.9665963893618503,0.9650000000000001
2,ditto,1,Hospital_B (Breast Ultrasound),0.9230769230769231,0.919378346363421,0.8766804146817488,0.9687947610022731,0.06248195758368664,0.13975342288553455,0.9025994407350341,0.9429292929292931
2,ditto,2,Hospital_C (COVID-19 X-Ray),0.945511811023622,0.9525856121601677,0.9169936726842495,0.992181056495722,0.06333078346554438,0.0875308214558163,0.9498067126480326,0.9558993488969397
2,local_only,0,Hospital_A (Brain-Tumor MRI),0.963125,0.9626052735591163,0.9517513238075421,0.9883109375000001,0.05889148467872604,0.0678439654336965,0.9649959098924537,0.963125
2,local_only,1,Hospital_B (Breast Ultrasound),0.8974358974358975,0.8861000704721635,0.833915657244594,0.9734044383311006,0.07643266259035816,0.14638253593968015,0.8686177492367618,0.9104594330400783
2,local_only,2,Hospital_C (COVID-19 X-Ray),0.9568503937007874,0.9646148292674602,0.9341117290708806,0.9887442333034706,0.04885767964912869,0.07859726961716546,0.9627708438340601,0.9665046605542498
2,fedbabu,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9620356925830365,0.9508928717761893,0.9867739583333335,0.06169863339020345,0.06657354047954929,0.9643472164150813,0.9625000000000001
2,fedbabu,1,Hospital_B (Breast Ultrasound),0.7777777777777778,0.7408326440584504,0.6231140634071901,0.9086657286768108,0.07827007373320338,0.31256812117503113,0.7351386852394918,0.7476702508960574
2,fedbabu,2,Hospital_C (COVID-19 X-Ray),0.9568503937007874,0.9619048833557386,0.9339205958941805,0.9881150032272075,0.053690690500318855,0.07688278017874524,0.9663928718083952,0.957637960758513
2,fedprox,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9657901685032841,0.9557305170352073,0.9871348958333332,0.05469949626852477,0.06204576520054116,0.967647466750201,0.96625
2,fedprox,1,Hospital_B (Breast Ultrasound),0.6239316239316239,0.5657919424250144,0.3735026140349332,0.7520185421973408,0.08812992977423321,0.5023545893724937,0.583168715247293,0.6058651026392962
2,fedprox,2,Hospital_C (COVID-19 X-Ray),0.9543307086614173,0.9631371720455717,0.9302343528429236,0.9912961516104882,0.05621632463484257,0.08034687834718944,0.9626764943128028,0.9636678726641957
2,fedavg,0,Hospital_A (Brain-Tumor MRI),0.966875,0.9665391955392992,0.9565145944054047,0.9886479166666667,0.05988916121096799,0.06287579116031879,0.9683275968113695,0.9668749999999999
2,fedavg,1,Hospital_B (Breast Ultrasound),0.5470085470085471,0.42536154291129735,0.20281104548582027,0.7110512201651801,0.1148816561205499,0.5613037520800415,0.5021464646464646,0.4856467904855002
2,fedavg,2,Hospital_C (COVID-19 X-Ray),0.9518110236220473,0.9591067042763132,0.9263719314177926,0.9909952510562955,0.0589537669671603,0.08204902919441413,0.9589704924917056,0.9594159976609382
2,fedbn,0,Hospital_A (Brain-Tumor MRI),0.968125,0.9677253181043373,0.9581204841237279,0.9887895833333333,0.056143607617944666,0.05983646425619977,0.969275313141563,0.968125
2,fedbn,1,Hospital_B (Breast Ultrasound),0.5299145299145299,0.4338624338624339,0.1648792489681691,0.7231842729994785,0.1596417770089942,0.5544677212486533,0.453019203019203,0.46371782339524276
2,fedbn,2,Hospital_C (COVID-19 X-Ray),0.9499212598425197,0.9570906566146643,0.9235776808996913,0.9925010628194233,0.05934261559105572,0.08320926647712827,0.9544643593668614,0.9599444827488054
2,centralized,0,Hospital_A (Brain-Tumor MRI),0.963125,0.9625634470737825,0.9517543037901767,0.9911963541666666,0.06707806059768678,0.0686298467223257,0.9649325660287942,0.963125
2,centralized,1,Hospital_B (Breast Ultrasound),0.8547008547008547,0.8552188552188552,0.7603883925128414,0.9645856812930039,0.08641361116486843,0.21903611757266503,0.841053391053391,0.8740143369175627
2,centralized,2,Hospital_C (COVID-19 X-Ray),0.9555905511811024,0.9605733430873231,0.9321014475884113,0.9941534992162153,0.07595951288260028,0.0756844309772839,0.9636998755113136,0.9578147408516287
2,centralized,pooled,Pooled (11 cls),0.955641864268193,0.9325639751182717,0.9464867792255864,0.9954474817775655,0.07001913192047626,0.07680561096986903,0.9306990853927821,0.9368910885599274
