seed,strategy,client,client_name,acc,f1,mcc,auc,ece,brier,precision,recall
1,fedbn,1,Hospital_B (Breast Ultrasound),0.5726495726495726,0.5347846741035596,0.3103804997322453,0.7220245250543335,0.0941901897900124,1.667274832725525,0.5436264564823667,0.5810897435897436
1,fedbn,2,Hospital_C (COVID-19 X-Ray),0.9537007874015748,0.9554229489174846,0.9292054369520136,0.990206351674202,0.000996945167151,5.782454967498779,0.957271431949152,0.9538626603767284
2,fedbn,0,Hospital_A (Brain-Tumor MRI),0.965625,0.9652303948298891,0.9548696498206688,0.9906552083333332,0.0601794265555454,0.0613111402754445,0.9670469702280118,0.965625
2,fedbn,1,Hospital_B (Breast Ultrasound),0.5555555555555556,0.480848284525464,0.2418088032543949,0.7048725183819676,0.1208491361179352,0.5461251072663916,0.5166617420138547,0.5075920495275335
2,fedbn,2,Hospital_C (COVID-19 X-Ray),0.9448818897637796,0.95244354941056,0.9159573550673868,0.990304733674797,0.058091122933281,0.0892222043491577,0.9495894527422276,0.9556427742252414
0,fedprox,0,Hospital_A (Brain-Tumor MRI),0.96,0.9593821624117248,0.9475806343955896,0.9855088541666668,0.0027388092502951,5.945410251617432,0.9616746187488312,0.96
0,fedprox,1,Hospital_B (Breast Ultrasound),0.5470085470085471,0.4884883393746793,0.2189449319837861,0.6712156854044661,0.1481957143315902,1.6733477115631104,0.5013665495338494,0.5082437275985663
0,fedprox,2,Hospital_C (COVID-19 X-Ray),0.9644094488188976,0.9692180425152086,0.9455354163403468,0.993649248508893,0.0009945682277829,5.877688407897949,0.9706179523252472,0.9678851554783542
1,fedprox,0,Hospital_A (Brain-Tumor MRI),0.968125,0.9677544808415082,0.958010576066972,0.9828536458333332,0.0017922382801771,6.159951210021973,0.9689918289463186,0.968125
1,fedprox,1,Hospital_B (Breast Ultrasound),0.6068376068376068,0.5694954440364476,0.3616978114729368,0.7683486973756134,0.1543909993627642,1.7397416830062866,0.6143018018018018,0.6006410256410256
1,fedprox,2,Hospital_C (COVID-19 X-Ray),0.9555905511811024,0.9577150056551802,0.9320691386605632,0.9895656865347564,0.0006892326497656,5.805015563964844,0.9611875898377044,0.9545651696520462
2,fedprox,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9658477970201802,0.9556029168300122,0.9857401041666668,0.0632256035279283,0.0631517518148163,0.9673289823537208,0.96625
2,fedprox,1,Hospital_B (Breast Ultrasound),0.6068376068376068,0.560110992402659,0.3556618514131224,0.7664416683799864,0.0804137255391206,0.5097056244763035,0.5575283876991657,0.601466275659824
2,fedprox,2,Hospital_C (COVID-19 X-Ray),0.95748031496063,0.9639234177309574,0.9349924390730436,0.9910395907411952,0.055337780500013,0.0755027655483215,0.9640033842632714,0.9639310609995416
0,fedbabu,0,Hospital_A (Brain-Tumor MRI),0.9625,0.9620096440360928,0.9509911322466108,0.9875,0.0,5.69921875,0.964681003356746,0.9625
0,fedbabu,1,Hospital_B (Breast Ultrasound),0.7094017094017094,0.6830645913341303,0.4926327032064045,0.85346386121495,0.0481019372868741,3.1388752460479736,0.6930203442879499,0.6787552948843271
0,fedbabu,2,Hospital_C (COVID-19 X-Ray),0.9606299212598424,0.967691922096822,0.939800978793611,0.993152554655929,0.000285066338036,5.1929144859313965,0.967440781277478,0.9679576688711218
1,fedbabu,0,Hospital_A (Brain-Tumor MRI),0.965625,0.9651763214153868,0.955019601504529,0.9828473958333334,0.0005148807168006,5.531980037689209,0.9673973429598636,0.965625
1,fedbabu,1,Hospital_B (Breast Ultrasound),0.7863247863247863,0.7703289142917625,0.681518513851089,0.9084304126701618,0.0373312125985439,3.472031593322754,0.7572278911564626,0.822275641025641
1,fedbabu,2,Hospital_C (COVID-19 X-Ray),0.952755905511811,0.9570276775861246,0.927928343284598,0.9914072370291198,0.0002529922432786,5.581698894500732,0.9535990985587222,0.9607533199350152
2,fedbabu,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9659437680762152,0.955721543475079,0.987859375,0.054641141761163,0.0649962490508267,0.9678725461248088,0.96625
2,fedbabu,1,Hospital_B (Breast Ultrasound),0.7777777777777778,0.7550272248913292,0.637341582744924,0.904352493627814,0.0734934336639927,0.3165205074487436,0.7402209937292862,0.7825187357445422
2,fedbabu,2,Hospital_C (COVID-19 X-Ray),0.9530708661417324,0.9608079005536494,0.9281482194538586,0.987866774588803,0.0549874872829707,0.0844331454624981,0.9660034259174504,0.9558759900649016
0,ditto,0,Hospital_A (Brain-Tumor MRI),0.960625,0.959976048139618,0.9485464484940236,0.9832994791666668,0.0022254836000502,6.375972270965576,0.9626514935833724,0.960625
0,ditto,1,Hospital_B (Breast Ultrasound),0.8376068376068376,0.827188346674084,0.7222363536617181,0.934414179621009,0.0459015452199512,4.194908142089844,0.8337020278196748,0.8233626588465297
0,ditto,2,Hospital_C (COVID-19 X-Ray),0.96251968503937,0.9684423597122404,0.9426834991264008,0.9935599593719732,0.0003799729459867,5.9704132080078125,0.970727221114869,0.9663630571965474
1,ditto,0,Hospital_A (Brain-Tumor MRI),0.96625,0.9658360928509966,0.9556308250077452,0.9799510416666668,0.0037905729562044,6.351723670959473,0.9674190355590248,0.96625
1,ditto,1,Hospital_B (Breast Ultrasound),0.9145299145299144,0.8988266320528272,0.8537835320142163,0.9832523641128508,0.0091064694600227,4.1598219871521,0.9074074074074074,0.8919871794871795
1,ditto,2,Hospital_C (COVID-19 X-Ray),0.951496062992126,0.9542902532464574,0.9260504780895984,0.9904937296802772,0.0022057132270392,6.043473243713379,0.9519045373782506,0.9571314722853956
2,ditto,0,Hospital_A (Brain-Tumor MRI),0.959375,0.958749837633057,0.9466852402931156,0.9883661458333336,0.0639281704881246,0.0680274417784088,0.9608396492840816,0.959375
2,ditto,1,Hospital_B (Breast Ultrasound),0.8974358974358975,0.8853689918206048,0.8364184586022011,0.9710929920828212,0.0542799476328865,0.1547461966776008,0.8652332657200811,0.916373411534702
2,ditto,2,Hospital_C (COVID-19 X-Ray),0.9486614173228346,0.9563182303767424,0.921761417179648,0.9924027221933946,0.0589438155067586,0.0858583571898009,0.9525661316682432,0.960505451608596
0,local_only,0,Hospital_A (Brain-Tumor MRI),0.9575,0.9567645999573104,0.944413139402436,0.9820765625,0.0,6.024044990539551,0.9595046227486608,0.9575
0,local_only,1,Hospital_B (Breast Ultrasound),0.811965811965812,0.7959268033172808,0.6963092958103644,0.9389119753767088,0.07884318769997,4.028029918670654,0.7815435572872644,0.8198273053111763
0,local_only,2,Hospital_C (COVID-19 X-Ray),0.9628346456692912,0.9682104405631236,0.9432363514335425,0.9943255028984076,0.0006651709023423,5.800354480743408,0.9664791785255588,0.9700931079822166
1,local_only,0,Hospital_A (Brain-Tumor MRI),0.966875,0.9664455435871367,0.9565385422690732,0.9829125,0.0012234780937433,5.973924160003662,0.9682481963948688,0.966875
1,local_only,1,Hospital_B (Breast Ultrasound),0.8547008547008547,0.8495985200040419,0.7677086217574616,0.9610596359876228,0.0597105370118067,4.478344440460205,0.8522695627958786,0.8613782051282052
