strategy,client,client_name,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,auc_mean,auc_std,ece_mean,ece_std,brier_mean,brier_std
fedbabu,0,Hospital A (Brain-Tumor MRI),0.9614583333333333,0.0009547032697824948,0.9608700232954911,0.0010677621610842604,0.9495483833918748,0.0012187120239166096,0.9864133680555556,0.001418397220936293,0.060160794382725036,0.0013817374604427242,0.06888042363087421,0.00243114631181361
fedbabu,1,Hospital B (Breast Ultrasound),0.7464387464387464,0.06183058237666865,0.723437662808097,0.06508977477620488,0.5804611410115759,0.12015789923023826,0.8997890383063561,0.04619377770130598,0.09103587953799926,0.012423689405750457,0.33957518737675807,0.06249770655639559
fedbabu,2,Hospital C (COVID-19 X-Ray),0.9566404199475064,0.0018984925270368032,0.9612068690918,0.0020821860591899036,0.9336869837502421,0.00290576389757395,0.9905204348093624,0.002636794247226529,0.05773534314729417,0.0037229212395006035,0.07605839524670477,0.0034839716421210996
fedbn,0,Hospital A (Brain-Tumor MRI),0.9622916666666668,0.005940240595576339,0.9616646572190213,0.006125425718172033,0.9507117634451303,0.007582018740915263,0.9875855902777776,0.001180438426072661,0.05902220362332373,0.0026469851511001685,0.065884122408644,0.005550401670943467
fedbn,1,Hospital B (Breast Ultrasound),0.5612535612535612,0.02747478849285743,0.49637683416812095,0.05697528182954786,0.2596078710650149,0.09007828026612659,0.7288015051957708,0.011802407043167122,0.13759779522326263,0.022706932894637103,0.5515247617902256,0.022037866233226115
fedbn,2,Hospital C (COVID-19 X-Ray),0.9545406824146981,0.005724432915576133,0.9597271861502655,0.005030064018261907,0.930500146805266,0.00866219028818053,0.9906294380701549,0.0019079166339876228,0.057487796435884427,0.0018944251456978513,0.07779178546053282,0.008044216885167507
fedprox,0,Hospital A (Brain-Tumor MRI),0.9629166666666666,0.002953634766407923,0.9623737764795588,0.0030343479894382624,0.9514401353118918,0.003798241536734308,0.9877444444444444,0.0005372244563161545,0.058016751598191973,0.003931954769101887,0.0661618734831406,0.003564682366014556
fedprox,1,Hospital B (Breast Ultrasound),0.5868945868945868,0.03854059617797343,0.5358144691453834,0.03240527221560883,0.30181250276842025,0.07781602788387172,0.7415641666682866,0.03226296714796013,0.10116322669817723,0.017177929799834867,0.5215374626376911,0.0300236585796541
fedprox,2,Hospital C (COVID-19 X-Ray),0.9565354330708661,0.0038186946938527054,0.9617349183300413,0.005305916252577259,0.9334981821799673,0.005806071011526349,0.989831048312655,0.0017084355278013349,0.05328297772359503,0.003240153758292555,0.07685411634931734,0.006772732396221817
fedua,0,Hospital A (Brain-Tumor MRI),0.9602083333333332,0.006070334285138984,0.9595347767532859,0.006350843238413553,0.9479917016648417,0.007681553192212376,0.984452951388889,0.004043240147336409,0.05800958413106853,0.007770413658886718,0.07289140159390804,0.010299586804356812
fedua,1,Hospital B (Breast Ultrasound),0.8461538461538461,0.008547008547008517,0.8310227647368377,0.008906289158831283,0.7458516102589966,0.02000983709292935,0.9394835234377735,0.04071207985175893,0.09453049454493727,0.020086495243060887,0.23099684655800193,0.040900560721068756
fedua,2,Hospital C (COVID-19 X-Ray),0.9548556430446195,0.0053574176681041325,0.9587802038316336,0.006825233506287792,0.9310072654362456,0.008140688052639051,0.9914284170492914,0.0017837455246559114,0.05460776782024337,0.006763718419498831,0.07829089686100743,0.007641888042086394
local_only,0,Hospital A (Brain-Tumor MRI),0.9635416666666666,0.0025259074277046187,0.9629986650125231,0.002582958186870428,0.9522660727796963,0.0033984998817473276,0.9864196180555554,0.00454304118192862,0.057552550546612534,0.006621055903901126,0.06843966611921064,0.004281688435876706
local_only,1,Hospital B (Breast Ultrasound),0.9031339031339031,0.009869235370762735,0.890499924676492,0.009907587215446313,0.8409068691666186,0.01687175396853729,0.961611484107162,0.010243423905099979,0.05017126878786166,0.02444300520778248,0.1593131926941252,0.016191952290773498
local_only,2,Hospital C (COVID-19 X-Ray),0.9575853018372703,0.001553663893642944,0.9638112052986721,0.002094713697540499,0.935161281286149,0.002364666905349722,0.9893792103516678,0.001593459636164373,0.05276100936589287,0.003973956198770179,0.07460692833122136,0.006102906551532703
